,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region,region_name
2192,2019-01-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1623329,megawatthours,Midwest,Midcontinent ISO
2193,2019-01-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1822942,megawatthours,Midwest,Midcontinent ISO
2194,2019-01-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1812516,megawatthours,Midwest,Midcontinent ISO
2195,2019-01-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1783122,megawatthours,Midwest,Midcontinent ISO
2196,2019-01-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1637015,megawatthours,Midwest,Midcontinent ISO
2197,2019-01-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1604087,megawatthours,Midwest,Midcontinent ISO
2198,2019-01-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1690003,megawatthours,Midwest,Midcontinent ISO
2199,2019-01-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1698345,megawatthours,Midwest,Midcontinent ISO
2200,2019-01-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1855282,megawatthours,Midwest,Midcontinent ISO
2201,2019-01-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1919361,megawatthours,Midwest,Midcontinent ISO
2202,2019-01-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1870872,megawatthours,Midwest,Midcontinent ISO
2203,2019-01-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1723201,megawatthours,Midwest,Midcontinent ISO
2204,2019-01-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1737183,megawatthours,Midwest,Midcontinent ISO
2205,2019-01-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1916300,megawatthours,Midwest,Midcontinent ISO
2206,2019-01-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1916570,megawatthours,Midwest,Midcontinent ISO
2207,2019-01-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1865184,megawatthours,Midwest,Midcontinent ISO
2208,2019-01-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1824099,megawatthours,Midwest,Midcontinent ISO
2209,2019-01-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1814405,megawatthours,Midwest,Midcontinent ISO
2210,2019-01-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1799339,megawatthours,Midwest,Midcontinent ISO
2211,2019-01-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1923868,megawatthours,Midwest,Midcontinent ISO
2212,2019-01-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2050611,megawatthours,Midwest,Midcontinent ISO
2213,2019-01-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1914136,megawatthours,Midwest,Midcontinent ISO
2214,2019-01-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1883842,megawatthours,Midwest,Midcontinent ISO
2215,2019-01-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2014806,megawatthours,Midwest,Midcontinent ISO
2216,2019-01-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2042931,megawatthours,Midwest,Midcontinent ISO
2217,2019-01-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1871626,megawatthours,Midwest,Midcontinent ISO
2218,2019-01-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1817352,megawatthours,Midwest,Midcontinent ISO
2219,2019-01-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1939241,megawatthours,Midwest,Midcontinent ISO
2220,2019-01-29,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2106486,megawatthours,Midwest,Midcontinent ISO
2221,2019-01-30,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2205344,megawatthours,Midwest,Midcontinent ISO
2222,2019-01-31,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2141760,megawatthours,Midwest,Midcontinent ISO
2223,2019-02-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1914351,megawatthours,Midwest,Midcontinent ISO
2224,2019-02-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1690614,megawatthours,Midwest,Midcontinent ISO
2225,2019-02-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1563531,megawatthours,Midwest,Midcontinent ISO
2226,2019-02-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1694170,megawatthours,Midwest,Midcontinent ISO
2227,2019-02-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1795098,megawatthours,Midwest,Midcontinent ISO
2228,2019-02-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1782922,megawatthours,Midwest,Midcontinent ISO
2229,2019-02-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1831108,megawatthours,Midwest,Midcontinent ISO
2230,2019-02-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2022089,megawatthours,Midwest,Midcontinent ISO
2231,2019-02-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1907027,megawatthours,Midwest,Midcontinent ISO
2232,2019-02-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1770954,megawatthours,Midwest,Midcontinent ISO
2233,2019-02-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1817744,megawatthours,Midwest,Midcontinent ISO
2234,2019-02-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1821564,megawatthours,Midwest,Midcontinent ISO
2235,2019-02-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1872690,megawatthours,Midwest,Midcontinent ISO
2236,2019-02-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1783244,megawatthours,Midwest,Midcontinent ISO
2237,2019-02-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1850237,megawatthours,Midwest,Midcontinent ISO
2238,2019-02-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1758193,megawatthours,Midwest,Midcontinent ISO
2239,2019-02-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1720125,megawatthours,Midwest,Midcontinent ISO
2240,2019-02-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1878925,megawatthours,Midwest,Midcontinent ISO
2241,2019-02-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1922928,megawatthours,Midwest,Midcontinent ISO
2242,2019-02-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1830804,megawatthours,Midwest,Midcontinent ISO
2243,2019-02-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1813988,megawatthours,Midwest,Midcontinent ISO
2244,2019-02-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1784809,megawatthours,Midwest,Midcontinent ISO
2245,2019-02-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1632905,megawatthours,Midwest,Midcontinent ISO
2246,2019-02-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1653130,megawatthours,Midwest,Midcontinent ISO
2247,2019-02-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1880827,megawatthours,Midwest,Midcontinent ISO
2248,2019-02-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1853243,megawatthours,Midwest,Midcontinent ISO
2249,2019-02-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1811984,megawatthours,Midwest,Midcontinent ISO
2250,2019-02-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1857670,megawatthours,Midwest,Midcontinent ISO
2251,2019-03-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1799950,megawatthours,Midwest,Midcontinent ISO
2252,2019-03-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1697514,megawatthours,Midwest,Midcontinent ISO
2253,2019-03-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1766849,megawatthours,Midwest,Midcontinent ISO
2254,2019-03-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2073229,megawatthours,Midwest,Midcontinent ISO
2255,2019-03-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2065287,megawatthours,Midwest,Midcontinent ISO
2256,2019-03-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1977797,megawatthours,Midwest,Midcontinent ISO
2257,2019-03-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1890688,megawatthours,Midwest,Midcontinent ISO
2258,2019-03-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1762809,megawatthours,Midwest,Midcontinent ISO
2259,2019-03-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1633648,megawatthours,Midwest,Midcontinent ISO
2260,2019-03-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1536721,megawatthours,Midwest,Midcontinent ISO
2261,2019-03-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1728039,megawatthours,Midwest,Midcontinent ISO
2262,2019-03-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1717461,megawatthours,Midwest,Midcontinent ISO
2263,2019-03-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1675645,megawatthours,Midwest,Midcontinent ISO
2264,2019-03-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1659448,megawatthours,Midwest,Midcontinent ISO
2265,2019-03-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1682122,megawatthours,Midwest,Midcontinent ISO
2266,2019-03-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1596404,megawatthours,Midwest,Midcontinent ISO
2267,2019-03-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1563360,megawatthours,Midwest,Midcontinent ISO
2268,2019-03-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1700449,megawatthours,Midwest,Midcontinent ISO
2269,2019-03-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1685530,megawatthours,Midwest,Midcontinent ISO
2270,2019-03-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1683497,megawatthours,Midwest,Midcontinent ISO
2271,2019-03-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1665160,megawatthours,Midwest,Midcontinent ISO
2272,2019-03-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1636853,megawatthours,Midwest,Midcontinent ISO
2273,2019-03-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1518778,megawatthours,Midwest,Midcontinent ISO
2274,2019-03-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1480887,megawatthours,Midwest,Midcontinent ISO
2275,2019-03-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1638770,megawatthours,Midwest,Midcontinent ISO
2276,2019-03-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1651174,megawatthours,Midwest,Midcontinent ISO
2277,2019-03-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1632664,megawatthours,Midwest,Midcontinent ISO
2278,2019-03-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1598603,megawatthours,Midwest,Midcontinent ISO
2279,2019-03-29,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1572515,megawatthours,Midwest,Midcontinent ISO
2280,2019-03-30,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1526346,megawatthours,Midwest,Midcontinent ISO
2281,2019-03-31,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1573331,megawatthours,Midwest,Midcontinent ISO
2282,2019-04-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1704673,megawatthours,Midwest,Midcontinent ISO
2283,2019-04-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1665845,megawatthours,Midwest,Midcontinent ISO
2284,2019-04-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1621509,megawatthours,Midwest,Midcontinent ISO
2285,2019-04-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1632941,megawatthours,Midwest,Midcontinent ISO
2286,2019-04-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1594120,megawatthours,Midwest,Midcontinent ISO
2287,2019-04-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1477073,megawatthours,Midwest,Midcontinent ISO
2288,2019-04-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1450009,megawatthours,Midwest,Midcontinent ISO
2289,2019-04-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1576889,megawatthours,Midwest,Midcontinent ISO
2290,2019-04-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1586982,megawatthours,Midwest,Midcontinent ISO
2291,2019-04-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1641967,megawatthours,Midwest,Midcontinent ISO
2292,2019-04-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1660692,megawatthours,Midwest,Midcontinent ISO
2293,2019-04-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1591981,megawatthours,Midwest,Midcontinent ISO
2294,2019-04-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1503936,megawatthours,Midwest,Midcontinent ISO
2295,2019-04-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1498713,megawatthours,Midwest,Midcontinent ISO
2296,2019-04-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1622632,megawatthours,Midwest,Midcontinent ISO
2297,2019-04-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1598674,megawatthours,Midwest,Midcontinent ISO
2298,2019-04-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1609117,megawatthours,Midwest,Midcontinent ISO
2299,2019-04-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1593432,megawatthours,Midwest,Midcontinent ISO
2300,2019-04-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1524762,megawatthours,Midwest,Midcontinent ISO
2301,2019-04-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1455874,megawatthours,Midwest,Midcontinent ISO
2302,2019-04-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1386297,megawatthours,Midwest,Midcontinent ISO
2303,2019-04-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1575470,megawatthours,Midwest,Midcontinent ISO
2304,2019-04-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1583382,megawatthours,Midwest,Midcontinent ISO
2305,2019-04-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1594075,megawatthours,Midwest,Midcontinent ISO
2306,2019-04-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1597217,megawatthours,Midwest,Midcontinent ISO
2307,2019-04-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1559687,megawatthours,Midwest,Midcontinent ISO
2308,2019-04-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1482206,megawatthours,Midwest,Midcontinent ISO
2309,2019-04-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1453408,megawatthours,Midwest,Midcontinent ISO
2310,2019-04-29,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1638101,megawatthours,Midwest,Midcontinent ISO
2311,2019-04-30,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1667207,megawatthours,Midwest,Midcontinent ISO
2312,2019-05-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1668475,megawatthours,Midwest,Midcontinent ISO
2313,2019-05-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1648604,megawatthours,Midwest,Midcontinent ISO
2314,2019-05-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1602088,megawatthours,Midwest,Midcontinent ISO
2315,2019-05-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1464780,megawatthours,Midwest,Midcontinent ISO
2316,2019-05-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1444105,megawatthours,Midwest,Midcontinent ISO
2317,2019-05-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1610198,megawatthours,Midwest,Midcontinent ISO
2318,2019-05-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1638883,megawatthours,Midwest,Midcontinent ISO
2319,2019-05-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1645156,megawatthours,Midwest,Midcontinent ISO
2320,2019-05-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1657191,megawatthours,Midwest,Midcontinent ISO
2321,2019-05-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1558131,megawatthours,Midwest,Midcontinent ISO
2322,2019-05-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1461038,megawatthours,Midwest,Midcontinent ISO
2323,2019-05-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1433414,megawatthours,Midwest,Midcontinent ISO
2324,2019-05-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1598436,megawatthours,Midwest,Midcontinent ISO
2325,2019-05-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1614743,megawatthours,Midwest,Midcontinent ISO
2326,2019-05-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1656683,megawatthours,Midwest,Midcontinent ISO
2327,2019-05-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1737149,megawatthours,Midwest,Midcontinent ISO
2328,2019-05-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1719939,megawatthours,Midwest,Midcontinent ISO
2329,2019-05-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1624055,megawatthours,Midwest,Midcontinent ISO
2330,2019-05-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1545534,megawatthours,Midwest,Midcontinent ISO
2331,2019-05-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1671627,megawatthours,Midwest,Midcontinent ISO
2332,2019-05-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1696189,megawatthours,Midwest,Midcontinent ISO
2333,2019-05-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1756081,megawatthours,Midwest,Midcontinent ISO
2334,2019-05-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1800352,megawatthours,Midwest,Midcontinent ISO
2335,2019-05-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1792168,megawatthours,Midwest,Midcontinent ISO
2336,2019-05-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1704265,megawatthours,Midwest,Midcontinent ISO
2337,2019-05-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1626437,megawatthours,Midwest,Midcontinent ISO
2338,2019-05-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1650997,megawatthours,Midwest,Midcontinent ISO
2339,2019-05-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1836883,megawatthours,Midwest,Midcontinent ISO
2340,2019-05-29,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1813902,megawatthours,Midwest,Midcontinent ISO
2341,2019-05-30,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1791638,megawatthours,Midwest,Midcontinent ISO
2342,2019-05-31,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1828849,megawatthours,Midwest,Midcontinent ISO
2343,2019-06-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1706570,megawatthours,Midwest,Midcontinent ISO
2344,2019-06-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1635524,megawatthours,Midwest,Midcontinent ISO
2345,2019-06-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1765367,megawatthours,Midwest,Midcontinent ISO
2346,2019-06-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1848953,megawatthours,Midwest,Midcontinent ISO
2347,2019-06-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1890707,megawatthours,Midwest,Midcontinent ISO
2348,2019-06-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1890156,megawatthours,Midwest,Midcontinent ISO
2349,2019-06-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1909691,megawatthours,Midwest,Midcontinent ISO
2350,2019-06-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1745125,megawatthours,Midwest,Midcontinent ISO
2351,2019-06-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1699679,megawatthours,Midwest,Midcontinent ISO
2352,2019-06-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1789440,megawatthours,Midwest,Midcontinent ISO
2353,2019-06-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1728912,megawatthours,Midwest,Midcontinent ISO
2354,2019-06-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1689530,megawatthours,Midwest,Midcontinent ISO
2355,2019-06-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1676533,megawatthours,Midwest,Midcontinent ISO
2356,2019-06-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1697483,megawatthours,Midwest,Midcontinent ISO
2357,2019-06-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1653238,megawatthours,Midwest,Midcontinent ISO
2358,2019-06-16,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1631497,megawatthours,Midwest,Midcontinent ISO
2359,2019-06-17,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1760605,megawatthours,Midwest,Midcontinent ISO
2360,2019-06-18,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1866099,megawatthours,Midwest,Midcontinent ISO
2361,2019-06-19,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1889723,megawatthours,Midwest,Midcontinent ISO
2362,2019-06-20,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1854409,megawatthours,Midwest,Midcontinent ISO
2363,2019-06-21,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1834758,megawatthours,Midwest,Midcontinent ISO
2364,2019-06-22,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1746937,megawatthours,Midwest,Midcontinent ISO
2365,2019-06-23,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1737318,megawatthours,Midwest,Midcontinent ISO
2366,2019-06-24,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1835785,megawatthours,Midwest,Midcontinent ISO
2367,2019-06-25,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1901271,megawatthours,Midwest,Midcontinent ISO
2368,2019-06-26,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2009444,megawatthours,Midwest,Midcontinent ISO
2369,2019-06-27,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2076317,megawatthours,Midwest,Midcontinent ISO
2370,2019-06-28,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2054218,megawatthours,Midwest,Midcontinent ISO
2371,2019-06-29,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2004119,megawatthours,Midwest,Midcontinent ISO
2372,2019-06-30,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1961900,megawatthours,Midwest,Midcontinent ISO
2373,2019-07-01,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2124529,megawatthours,Midwest,Midcontinent ISO
2374,2019-07-02,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2174354,megawatthours,Midwest,Midcontinent ISO
2375,2019-07-03,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2110671,megawatthours,Midwest,Midcontinent ISO
2376,2019-07-04,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1967021,megawatthours,Midwest,Midcontinent ISO
2377,2019-07-05,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2068523,megawatthours,Midwest,Midcontinent ISO
2378,2019-07-06,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1971255,megawatthours,Midwest,Midcontinent ISO
2379,2019-07-07,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1910603,megawatthours,Midwest,Midcontinent ISO
2380,2019-07-08,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2084196,megawatthours,Midwest,Midcontinent ISO
2381,2019-07-09,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2157642,megawatthours,Midwest,Midcontinent ISO
2382,2019-07-10,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2231346,megawatthours,Midwest,Midcontinent ISO
2383,2019-07-11,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2158178,megawatthours,Midwest,Midcontinent ISO
2384,2019-07-12,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2071134,megawatthours,Midwest,Midcontinent ISO
2385,2019-07-13,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1987162,megawatthours,Midwest,Midcontinent ISO
2386,2019-07-14,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,1949399,megawatthours,Midwest,Midcontinent ISO
2387,2019-07-15,MISO,"Midcontinent Independent System Operator, Inc.",D,Demand,Central,Central,2128704,megawatthours,Midwest,Midcontinent ISO
